group,seed,source_path,structure,layout,texture,object_artifact,watermark,diversity_issue,severity,confidence,notes
E4,10,results/samples/p2-lsun-church256-50k-ada-1500/seed0010.png,moderate,mild,moderate,moderate,absent,mild,medium,high,Ornate facade and foreground objects merge into dense detail.
E4,11,results/samples/p2-lsun-church256-50k-ada-1500/seed0011.png,mild,mild,mild,mild,absent,none,low,high,Strong framing shadow but central church remains largely coherent.
E4,12,results/samples/p2-lsun-church256-50k-ada-1500/seed0012.png,mild,none,mild,mild,absent,mild,low,high,Stable tower composition with minor foreground deformation.
E4,13,results/samples/p2-lsun-church256-50k-ada-1500/seed0013.png,mild,none,moderate,mild,absent,none,medium,medium,Facade ornament and roof edges are locally smeared.
E4,14,results/samples/p2-lsun-church256-50k-ada-1500/seed0014.png,mild,mild,moderate,mild,absent,mild,medium,medium,Coherent central building with repeated windows and soft side structures.
E4,15,results/samples/p2-lsun-church256-50k-ada-1500/seed0015.png,mild,none,mild,mild,absent,mild,low,high,Mostly coherent narrow tower with minor base and roof artifacts.
E5,0,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0000.png,moderate,mild,moderate,mild,absent,none,medium,high,Facade is warped and partially fused with trees at both sides.
E5,1,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0001.png,moderate,mild,moderate,mild,absent,mild,medium,high,Dense repeated spires and ornament reduce structural separation.
E5,2,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0002.png,mild,mild,moderate,mild,absent,none,medium,medium,Tree canopy and white facade merge into softened boundaries.
E5,3,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0003.png,mild,none,moderate,mild,absent,none,medium,medium,Dark facade texture obscures windows and lower structure.
E5,4,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0004.png,moderate,mild,moderate,moderate,absent,none,medium,high,Side tower is poorly attached and foreground people are malformed.
E5,5,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0005.png,moderate,mild,mild,moderate,absent,mild,medium,high,Tower geometry is uneven and the foreground crowd becomes black blobs.
E5,6,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0006.png,moderate,mild,moderate,mild,absent,none,medium,high,Multiple roof levels and foreground textures merge without clean edges.
E5,7,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0007.png,mild,none,moderate,mild,possible,mild,medium,medium,Faint letter-like artifact appears at the right edge; geometry is otherwise plausible.
E5,8,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0008.png,mild,mild,mild,mild,absent,none,low,high,Mostly coherent scene with minor facade and ground deformation.
E5,9,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0009.png,mild,none,moderate,mild,absent,none,medium,medium,Blue-white tower texture is over-smoothed and locally repeated.
E5,10,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0010.png,moderate,mild,moderate,severe,present,none,high,high,Letter-like mark and severe black foreground silhouettes are both visible.
E5,11,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0011.png,mild,none,mild,moderate,absent,none,medium,high,Church is coherent but the foreground crowd is smeared.
E5,12,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0012.png,moderate,mild,moderate,severe,absent,mild,high,high,Dense spires and repeated foreground objects create severe clutter.
E5,13,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0013.png,moderate,mild,severe,moderate,present,none,high,high,Large watermark-like text and footer are reproduced across the image.
E5,14,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0014.png,moderate,mild,moderate,severe,absent,mild,high,high,Foreground becomes a repeated black mass below an over-detailed facade.
E5,15,results/samples/p2-lsun-church256-100k-ada-target04-1500/seed0015.png,mild,none,mild,mild,absent,none,low,high,Simple facade is largely coherent with minor window deformation.
